Thread: 4394 -- LS: (A = 69, B = 50) -- [A(0, 0) = (9, 12) = (9, 12) = B(2, 9)]
Thread: 2245 -- LS: (A = 40, B = 29) -- [A(0, 0) = (9, 1) = (9, 1) = B(1, 3)]
Thread: 1666 -- LS: (A = 48, B = 18) -- [A(0, 0) = (6, 2) = (6, 2) = B(1, 8)]
Thread: 576 -- LS: (A = 72, B = 0) -- [A(0, 0) = (11, 7) = (11, 7) = B(2, 7)]
Thread: 345 -- LS: (A = 43, B = 1) -- [A(0, 0) = (5, 7) = (5, 7) = B(2, 12)]
Thread: 1078 -- LS: (A = 54, B = 14) -- [A(0, 0) = (13, 13) = (13, 13) = B(2, 10)]
Thread: 2433 -- LS: (A = 64, B = 25) -- [A(0, 0) = (15, 2) = (15, 2) = B(1, 7)]
Thread: 2230 -- LS: (A = 38, B = 30) -- [A(0, 0) = (5, 12) = (5, 12) = B(1, 5)]
Thread: 1136 -- LS: (A = 62, B = 8) -- [A(0, 0) = (1, 11) = (1, 11) = B(2, 13)]
Thread: 503 -- LS: (A = 62, B = 7) -- [A(0, 0) = (1, 4) = (1, 4) = B(3, 6)]
Thread: 1801 -- LS: (A = 65, B = 17) -- [A(0, 0) = (14, 8) = (14, 8) = B(1, 1)]
Thread: 1089 -- LS: (A = 56, B = 9) -- [A(0, 0) = (6, 5) = (6, 5) = B(1, 4)]
Thread: 1095 -- LS: (A = 56, B = 15) -- [A(0, 0) = (6, 7) = (6, 7) = B(1, 4)]
Thread: 4378 -- LS: (A = 67, B = 50) -- [A(0, 0) = (11, 12) = (11, 12) = B(1, 12)]
Thread: 2994 -- LS: (A = 54, B = 34) -- [A(0, 0) = (13, 6) = (13, 6) = B(2, 10)]
Thread: 1114 -- LS: (A = 59, B = 10) -- [A(0, 0) = (9, 9) = (9, 9) = B(2, 9)]
Thread: 937 -- LS: (A = 37, B = 9) -- [A(0, 0) = (10, 5) = (10, 5) = B(1, 4)]
Thread: 943 -- LS: (A = 37, B = 15) -- [A(0, 0) = (10, 7) = (10, 7) = B(1, 4)]
Thread: 539 -- LS: (A = 67, B = 3) -- [A(0, 0) = (11, 14) = (11, 14) = B(2, 11)]
Thread: 2867 -- LS: (A = 38, B = 35) -- [A(0, 0) = (5, 15) = (5, 15) = B(2, 2)]
Thread: 3130 -- LS: (A = 71, B = 34) -- [A(0, 0) = (8, 6) = (8, 6) = B(2, 10)]
Thread: 457 -- LS: (A = 57, B = 1) -- [A(0, 0) = (0, 7) = (0, 7) = B(2, 12)]
Thread: 1456 -- LS: (A = 22, B = 16) -- [A(0, 0) = (8, 15) = (8, 15) = B(1, 5)]
Thread: 242 -- LS: (A = 30, B = 2) -- [A(0, 0) = (12, 7) = (12, 7) = B(2, 6)]
Thread: 2267 -- LS: (A = 43, B = 27) -- [A(0, 0) = (5, 4) = (5, 4) = B(1, 9)]
Thread: 2187 -- LS: (A = 33, B = 27) -- [A(0, 0) = (1, 4) = (1, 4) = B(1, 9)]
Thread: 1648 -- LS: (A = 46, B = 16) -- [A(0, 0) = (14, 15) = (14, 15) = B(1, 5)]
Thread: 1654 -- LS: (A = 46, B = 22) -- [A(0, 0) = (14, 8) = (14, 8) = B(1, 5)]
Thread: 1835 -- LS: (A = 69, B = 19) -- [A(0, 0) = (9, 13) = (9, 13) = B(1, 2)]
Thread: 1034 -- LS: (A = 49, B = 10) -- [A(0, 0) = (6, 9) = (6, 9) = B(1, 15)]
Thread: 1036 -- LS: (A = 49, B = 12) -- [A(0, 0) = (6, 11) = (6, 11) = B(1, 15)]
Thread: 56 -- LS: (A = 7, B = 0) -- [A(0, 0) = (4, 7) = (4, 7) = B(1, 14)]
Thread: 58 -- LS: (A = 7, B = 2) -- [A(0, 0) = (4, 7) = (4, 7) = B(1, 14)]
Thread: 1597 -- LS: (A = 39, B = 21) -- [A(0, 0) = (5, 4) = (5, 4) = B(1, 4)]
Thread: 1708 -- LS: (A = 53, B = 20) -- [A(0, 0) = (9, 8) = (9, 8) = B(2, 15)]
Thread: 1709 -- LS: (A = 53, B = 21) -- [A(0, 0) = (9, 4) = (9, 4) = B(2, 15)]
Thread: 1733 -- LS: (A = 56, B = 21) -- [A(0, 0) = (6, 4) = (6, 4) = B(1, 4)]
Thread: 976 -- LS: (A = 42, B = 8) -- [A(0, 0) = (15, 11) = (15, 11) = B(1, 11)]
Thread: 446 -- LS: (A = 55, B = 6) -- [A(0, 0) = (0, 14) = (0, 14) = B(1, 8)]
Thread: 1856 -- LS: (A = 72, B = 16) -- [A(0, 0) = (11, 15) = (11, 15) = B(1, 5)]
